current_time,tau,p_motor,rpm
0.969580,0.000000,0.000000,0.000000
0.973125,0.000000,0.000000,0.000000
0.975504,0.000000,0.000000,0.000000
0.977980,0.000000,0.000000,0.000000
0.980418,0.000000,0.000000,0.000000
0.982502,0.000000,0.000000,0.000000
0.984445,0.000000,0.000000,0.000000
0.986429,0.000000,0.000000,0.000000
0.988468,0.000000,0.000000,0.000000
0.990495,0.000000,0.000000,0.000000
0.992458,0.000000,0.000000,0.000000
0.994977,0.000000,0.000000,0.000000
0.997381,0.000000,0.000000,0.000000
1.000082,0.000000,0.000000,0.000000
1.002489,0.000000,0.000000,0.000000
1.004904,0.000000,0.000000,0.000000
1.007080,0.000000,0.000000,0.000000
1.009157,0.000000,0.000000,0.000000
1.011404,0.000000,0.000000,0.000000
1.013448,0.000000,0.000000,0.000000
1.015446,0.000000,0.000000,0.000000
1.017493,0.000000,0.000000,0.000000
1.019465,0.000000,0.000000,0.000000
1.021502,0.000000,0.000000,0.000000
1.023450,0.000000,0.000000,0.000000
1.025510,0.000000,0.000000,0.000000
1.027805,0.000000,0.000000,0.000000
1.030229,0.000000,0.000000,0.000000
1.032846,0.000000,0.000000,0.000000
1.035017,0.000000,0.000000,0.000000
1.037456,0.000000,0.000000,0.000000
1.039657,0.000000,0.000000,0.000000
1.041780,0.000000,0.000000,0.000000
1.044018,0.000000,0.000000,0.000000
1.046187,0.000000,0.000000,0.000000
1.048190,0.000000,0.000000,0.000000
1.050226,0.000000,0.000000,0.000000
1.052204,0.000000,0.000000,0.000000
1.054317,0.000000,0.000000,0.000000
1.056297,0.000000,0.000000,0.000000
1.058450,0.000000,0.000000,0.000000
1.063073,0.000000,0.000000,0.000000
1.065363,0.000000,0.000000,0.000000
1.069364,0.000000,0.000000,0.000000
1.071620,0.000000,0.000000,0.000000
1.073754,0.000000,0.000000,0.000000
1.075814,0.000000,0.000000,0.000000
1.077925,0.000000,0.000000,0.000000
1.079840,0.000000,0.000000,0.000000
1.081904,0.000000,0.000000,0.000000
1.083879,0.000000,0.000000,0.000000
1.085872,0.000000,0.000000,0.000000
1.087822,0.000000,0.000000,0.000000
1.089817,0.000000,0.000000,0.000000
1.091974,0.000000,0.000000,0.000000
1.094089,0.000000,0.000000,0.000000
1.096411,0.000000,0.000000,0.000000
1.098938,0.000000,0.000000,0.000000
1.101723,0.000000,0.000000,0.000000
1.104325,0.000000,0.000000,0.000000
1.106490,0.000000,0.000000,0.000000
1.108570,0.000000,0.000000,0.000000
1.110690,0.000000,0.000000,0.000000
1.112801,0.000000,0.000000,0.000000
1.114810,0.000000,0.000000,0.000000
1.116853,0.000000,0.000000,0.000000
1.118810,0.000000,0.000000,0.000000
1.120752,0.000000,0.000000,0.000000
1.122919,0.000000,0.000000,0.000000
